x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.1394,0.021699,0.013417,0.01129,1264.8,0,1.6172,0.8415,sep.,0,0.98296
0.9991,0.0002,0.7073,0.021699,0.013417,0.01129,6415.8,0,1.6172,0.8415,sep.,0,0.50033
0.9962,0.0008,0.8134,0.021699,0.013417,0.01129,7378.4,0,1.6172,0.8415,sep.,0,0.33859
0.9913,0.0018,0.8589,0.021699,0.013417,0.01129,7790.5,0,1.6172,0.8415,sep.,0,0.26251
0.9845,0.0032,0.8939,0.021699,0.013417,0.01129,8108,0,1.6172,0.8415,sep.,0,0.20107
0.9758,0.005,0.9234,0.021699,0.013417,0.01129,8375.9,0,1.6172,0.8415,sep.,0,0.14737
0.9653,0.0071,0.9498,0.021699,0.013417,0.01129,8615.5,0,1.6172,0.8415,sep.,0,0.09784
0.9529,0.0096,0.9742,0.021699,0.013417,0.01129,8836.9,0,1.6172,0.8415,sep.,0,0.05087
0.9387,0.0123,0.9972,0.021699,0.013417,0.01129,9045.4,0,1.6172,0.8415,sep.,0,0.00554
0.9228,0.0154,1.0192,0.021699,0.013417,0.01129,9244.5,0,1.6172,0.8415,sep.,0,-0.03872
0.9053,0.0186,1.0404,0.021699,0.013417,0.01129,9436.6,0,1.6172,0.8415,turb.,0,-0.08231
0.8861,0.0221,1.0609,0.014418,0.006546,0.010016,4783.6,0.0008,2.2026,1.5301,turb.,0.0076,-0.12552
0.8655,0.0257,1.081,0.012433,0.006065,0.009433,4513.2,0.001,2.0501,1.5554,turb.,0.0067,-0.16858
0.8433,0.0295,1.1008,0.01095,0.00564,0.00889,4272.1,0.0012,1.9414,1.5761,turb.,0.0062,-0.21172
0.8198,0.0333,1.1204,0.009791,0.005262,0.008385,4054.4,0.0013,1.8605,1.5933,turb.,0.0058,-0.25512
0.7951,0.0373,1.1398,0.008826,0.004913,0.0079,3849.9,0.0015,1.7966,1.6082,turb.,0.0054,-0.29899
0.7691,0.0412,1.1592,0.008019,0.004593,0.007445,3660,0.0016,1.7459,1.6209,turb.,0.0052,-0.34354
0.7421,0.0451,1.1787,0.007323,0.004296,0.007011,3480.3,0.0017,1.7045,1.6319,turb.,0.005,-0.38897
0.7141,0.049,1.1983,0.006711,0.004018,0.006595,3308.9,0.0019,1.6702,1.6415,turb.,0.0048,-0.43552
0.6853,0.0528,1.2182,0.006164,0.003756,0.006197,3144.2,0.002,1.6412,1.6499,turb.,0.0047,-0.48341
0.6557,0.0565,1.2384,0.005669,0.003507,0.005813,2985,0.0021,1.6166,1.6574,turb.,0.0046,-0.53291
0.6254,0.06,1.259,0.005217,0.00327,0.005442,2830.4,0.0022,1.5953,1.6641,turb.,0.0045,-0.58429
0.5947,0.0633,1.2802,0.0048,0.003045,0.005085,2679.7,0.0023,1.5767,1.6701,turb.,0.0044,-0.63785
0.5635,0.0664,1.302,0.004415,0.002829,0.004741,2533.1,0.0024,1.5604,1.6755,turb.,0.0043,-0.69391
0.5321,0.0692,1.3245,0.004052,0.002621,0.004405,2388.4,0.0025,1.5457,1.6805,turb.,0.0042,-0.75288
0.5006,0.0718,1.3479,0.003707,0.002419,0.004077,2244.8,0.0026,1.5322,1.6852,turb.,0.0041,-0.81523
0.469,0.074,1.3724,0.003383,0.002226,0.003762,2104.4,0.0027,1.5195,1.6897,turb.,0.0041,-0.88165
0.4376,0.0758,1.3984,0.003056,0.002031,0.003443,1959.4,0.0028,1.5047,1.695,turb.,0.004,-0.95314
0.4063,0.0773,1.4273,0.002742,0.00184,0.003129,1814.2,0.0029,1.4898,1.7005,turb.,0.0039,-1.03445
0.3753,0.0783,1.4583,0.002484,0.001677,0.002856,1685.3,0.003,1.4816,1.7036,turb.,0.0038,-1.12352
0.3447,0.0788,1.487,0.002249,0.001524,0.0026,1561.6,0.0031,1.4759,1.7057,turb.,0.0038,-1.20762
0.3147,0.0787,1.5157,0.002036,0.001383,0.002361,1444.2,0.0031,1.4724,1.7071,turb.,0.0037,-1.29308
0.2854,0.078,1.5446,0.001841,0.001252,0.002138,1332.1,0.0032,1.4707,1.7078,turb.,0.0037,-1.38111
0.257,0.0768,1.5743,0.001658,0.001128,0.001926,1223.3,0.0033,1.4706,1.7078,turb.,0.0037,-1.47285
0.2296,0.075,1.6049,0.001487,0.00101,0.001724,1117.5,0.0033,1.472,1.7073,turb.,0.0036,-1.56945
0.2033,0.0727,1.6369,0.001327,0.000899,0.001535,1015.9,0.0034,1.4748,1.7062,turb.,0.0036,-1.67234
0.1782,0.0699,1.6707,0.001177,0.000796,0.001357,918.2,0.0035,1.4791,1.7045,turb.,0.0036,-1.78333
0.1544,0.0666,1.707,0.001033,0.000696,0.001185,821.8,0.0035,1.4848,1.7024,turb.,0.0035,-1.90483
0.1321,0.0628,1.7466,0.000899,0.000602,0.001024,729.1,0.0036,1.4918,1.6997,turb.,0.0035,-2.04004
0.1112,0.0587,1.7904,0.000772,0.000515,0.000873,639.8,0.0036,1.5001,1.6967,turb.,0.0035,-2.19331
0.092,0.0542,1.8398,0.000649,0.00043,0.000728,551.4,0.0037,1.51,1.6931,turb.,0.0034,-2.37054
0.0744,0.0494,1.8965,0.000537,0.000353,0.000596,467.9,0.0038,1.5215,1.6889,turb.,0.0034,-2.57985
0.0586,0.0444,1.9628,0.00043,0.000279,0.00047,385.7,0.0038,1.5374,1.6834,turb.,0.0034,-2.83245
0.0445,0.0391,2.0417,0.000336,0.000215,0.00036,310.1,0.0039,1.5633,1.6746,turb.,0.0034,-3.14369
0.0323,0.0337,2.1367,0.000255,0.000157,0.00026,238.7,0.0037,1.6267,1.6546,turb.,0.0034,-3.53399
0.0221,0.0281,2.2514,0.000205,0.000112,0.000179,180.2,0.0028,1.8362,1.5998,turb.,0.0039,-4.02747
0.0137,0.0225,2.3867,0.000245,0.000079,0.000121,134.8,0.0015,3.1102,1.5333,lam.,0.0054,-4.64134
0.0073,0.0169,2.5324,0.000139,0.000056,0.000088,99.4,0.005,2.5057,1.5828,lam.,0.003,-5.34007
