x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.1452,0.013318,0.003443,0.007143,338.1,0,3.8678,2.0745,sep.,0,0.9813
0.9991,0.0002,0.6669,0.013318,0.003443,0.007143,1552.3,0,3.8678,2.0745,turb.,0,0.55604
0.9962,0.0008,0.8089,0.007054,0.003697,0.00585,2145.7,0.0014,1.908,1.5823,turb.,0.0055,0.34606
0.9913,0.0018,0.8585,0.005469,0.003189,0.005195,1923.5,0.002,1.7147,1.6288,turb.,0.0047,0.26312
0.9845,0.0032,0.8921,0.004628,0.002859,0.004737,1775,0.0023,1.6184,1.6567,turb.,0.0043,0.2043
0.9758,0.005,0.9183,0.004073,0.002612,0.004377,1660.6,0.0026,1.5593,1.6758,turb.,0.0041,0.15683
0.9653,0.0071,0.9404,0.003664,0.002412,0.004075,1565.2,0.0029,1.519,1.6898,turb.,0.0039,0.11561
0.9529,0.0096,0.96,0.003344,0.002244,0.003815,1482.7,0.003,1.4904,1.7002,turb.,0.0038,0.07841
0.9387,0.0123,0.9777,0.003075,0.002094,0.003577,1406.7,0.0032,1.4688,1.7084,turb.,0.0037,0.04406
0.9228,0.0154,0.9941,0.002844,0.001958,0.003358,1335.8,0.0033,1.4525,1.7149,turb.,0.0036,0.01186
0.9053,0.0186,1.0093,0.00264,0.001833,0.003153,1268.4,0.0034,1.44,1.7199,turb.,0.0036,-0.01864
0.8861,0.0221,1.0236,0.002454,0.001715,0.002957,1202.7,0.0035,1.4304,1.7238,turb.,0.0035,-0.04774
0.8655,0.0257,1.0372,0.002284,0.001605,0.002771,1139.1,0.0036,1.4234,1.7267,turb.,0.0035,-0.07567
0.8433,0.0295,1.0501,0.002126,0.001499,0.002591,1076.5,0.0037,1.4185,1.7287,turb.,0.0034,-0.10262
0.8198,0.0333,1.0624,0.001979,0.001398,0.002418,1015,0.0038,1.4157,1.7299,turb.,0.0034,-0.12874
0.7951,0.0373,1.0743,0.001836,0.001298,0.002246,952.7,0.0038,1.4149,1.7303,turb.,0.0034,-0.15416
0.7691,0.0412,1.0859,0.001702,0.001201,0.002078,890.9,0.0039,1.4165,1.7296,turb.,0.0034,-0.17901
0.7421,0.0451,1.097,0.001573,0.001107,0.001913,829.2,0.0039,1.4212,1.7276,turb.,0.0033,-0.20341
0.7141,0.049,1.108,0.001452,0.001015,0.00175,767.6,0.0039,1.4306,1.7238,turb.,0.0033,-0.22745
0.6853,0.0528,1.1187,0.00134,0.000925,0.001589,706.5,0.0039,1.4479,1.7168,turb.,0.0034,-0.25125
0.6557,0.0565,1.1292,0.001243,0.00084,0.001431,647,0.0037,1.4796,1.7044,turb.,0.0034,-0.27489
0.6254,0.06,1.1396,0.00117,0.000759,0.001276,589.8,0.0034,1.542,1.6819,turb.,0.0036,-0.29846
0.5947,0.0633,1.1499,0.00115,0.000686,0.001125,537.9,0.0028,1.6766,1.6398,turb.,0.0039,-0.32202
0.5635,0.0664,1.1602,0.001255,0.000628,0.000982,496.6,0.0017,1.9991,1.5652,turb.,0.005,-0.34565
0.5321,0.0692,1.1704,0.002067,0.00059,0.000897,470.9,0.0002,3.5027,1.5205,lam.,0.0148,-0.36942
0.5006,0.0718,1.1806,0.001853,0.000559,0.000852,449.8,0.0003,3.3167,1.5255,lam.,0.0119,-0.39343
0.469,0.074,1.1909,0.001684,0.000528,0.000808,428.7,0.0004,3.1901,1.5301,lam.,0.0103,-0.41787
0.4376,0.0758,1.2015,0.00149,0.000494,0.000761,405.5,0.0006,3.015,1.5387,lam.,0.0086,-0.44311
0.4063,0.0773,1.2135,0.001306,0.00046,0.000712,380.9,0.0008,2.8423,1.5502,lam.,0.0073,-0.47207
0.3753,0.0783,1.2259,0.001189,0.00043,0.00067,359.2,0.001,2.7634,1.5565,lam.,0.0067,-0.50227
0.3447,0.0788,1.2349,0.001091,0.000403,0.000629,338.5,0.0011,2.7071,1.5615,lam.,0.0063,-0.52429
0.3147,0.0787,1.2422,0.001005,0.000377,0.000591,318.4,0.0013,2.6634,1.5656,lam.,0.0059,-0.54233
0.2854,0.078,1.248,0.000927,0.000353,0.000554,298.8,0.0014,2.6279,1.569,lam.,0.0056,-0.55666
0.257,0.0768,1.2523,0.000855,0.000329,0.000518,279.3,0.0016,2.5969,1.572,lam.,0.0053,-0.56733
0.2296,0.075,1.255,0.000788,0.000306,0.000482,260,0.0017,2.5726,1.5747,lam.,0.005,-0.57418
0.2033,0.0727,1.2561,0.000724,0.000284,0.000447,240.7,0.0019,2.5523,1.5771,lam.,0.0048,-0.57701
0.1782,0.0699,1.2555,0.000663,0.000262,0.000413,221.7,0.0022,2.5345,1.5792,lam.,0.0045,-0.57553
0.1544,0.0666,1.2531,0.000605,0.00024,0.00038,202.9,0.0024,2.5185,1.5811,lam.,0.0043,-0.56937
0.1321,0.0628,1.2485,0.000548,0.000219,0.000347,183.8,0.0027,2.5033,1.583,lam.,0.004,-0.55806
0.1112,0.0587,1.2416,0.000493,0.000198,0.000314,165.1,0.0031,2.4884,1.5848,lam.,0.0038,-0.54094
