x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
0.5937,0.0908,1.2237,0.002402,0.001652,0.002832,1392.5,0.0033,1.4537,1.7144,turb.,0.0037,-0.49686
0.5627,0.0957,1.2469,0.002164,0.001496,0.00257,1285.5,0.0034,1.4463,1.7174,turb.,0.0036,-0.55407
0.5314,0.1004,1.2708,0.001942,0.001348,0.002319,1180.6,0.0035,1.4402,1.7198,turb.,0.0035,-0.61397
0.5,0.1046,1.2953,0.001734,0.001208,0.00208,1078.1,0.0036,1.4354,1.7218,turb.,0.0035,-0.6767
0.4686,0.1084,1.3205,0.001539,0.001075,0.001852,977.9,0.0037,1.4322,1.7231,turb.,0.0034,-0.74233
0.4373,0.1118,1.3463,0.001358,0.000949,0.001636,880.5,0.0038,1.431,1.7236,turb.,0.0034,-0.81087
0.4063,0.1146,1.3727,0.001189,0.00083,0.00143,785.3,0.0039,1.4329,1.7228,turb.,0.0034,-0.88222
0.3757,0.1167,1.3995,0.001038,0.00072,0.001239,694.8,0.0039,1.44,1.7199,turb.,0.0033,-0.95618
0.3455,0.1183,1.4266,0.000901,0.000618,0.001058,607.1,0.0039,1.4581,1.7127,turb.,0.0033,-1.03243
0.3159,0.1191,1.4538,0.000789,0.000526,0.000891,526.1,0.0038,1.5013,1.6963,turb.,0.0034,-1.11052
0.2871,0.1192,1.481,0.00072,0.000445,0.000737,453.4,0.0032,1.6175,1.6574,turb.,0.0037,-1.18986
0.2591,0.1186,1.5079,0.000762,0.000382,0.000599,396.6,0.0019,1.9935,1.5665,turb.,0.0049,-1.26971
0.2321,0.1171,1.5342,0.001155,0.000344,0.000524,362.2,0.0004,3.362,1.5241,lam.,0.0111,-1.34917
0.2061,0.1149,1.5596,0.000957,0.000311,0.000477,332.9,0.0006,3.0775,1.5353,lam.,0.0082,-1.42711
0.1813,0.1119,1.5836,0.00082,0.000281,0.000434,305.1,0.0009,2.9172,1.5448,lam.,0.0069,-1.50223
0.1577,0.108,1.606,0.000711,0.000254,0.000394,278.6,0.0012,2.8054,1.553,lam.,0.0061,-1.57288
0.1355,0.1034,1.626,0.000618,0.000227,0.000355,252.5,0.0015,2.7166,1.5606,lam.,0.0055,-1.63702
0.1147,0.098,1.6429,0.000538,0.000203,0.000319,227.7,0.0018,2.6429,1.5675,lam.,0.0049,-1.69194
0.0955,0.0919,1.6558,0.000465,0.000181,0.000284,202.9,0.0022,2.5754,1.5744,lam.,0.0044,-1.73396
0.0778,0.085,1.663,0.000402,0.00016,0.000252,179.5,0.0027,2.5184,1.5811,lam.,0.004,-1.75784
0.0618,0.0776,1.6625,0.000345,0.00014,0.000222,156.2,0.0034,2.4628,1.588,lam.,0.0036,-1.75601
0.0476,0.0695,1.6507,0.000295,0.000122,0.000195,134.4,0.0042,2.4081,1.5951,lam.,0.0032,-1.71741
0.0351,0.0609,1.6227,0.000252,0.000107,0.000171,113.5,0.0054,2.3559,1.6022,lam.,0.0029,-1.6265
0.0245,0.0517,1.5712,0.000216,0.000093,0.00015,93.8,0.0069,2.3098,1.6088,lam.,0.0025,-1.46313
0.0157,0.0421,1.4864,0.000188,0.000083,0.000134,75.9,0.0089,2.2728,1.6143,lam.,0.0022,-1.20564
0.0089,0.0321,1.3575,0.000169,0.000075,0.000122,59.9,0.0117,2.2485,1.6181,lam.,0.0019,-0.84109
0.0039,0.0218,1.1764,0.000159,0.000071,0.000115,45.7,0.0156,2.2372,1.6199,lam.,0.0017,-0.38365
0.001,0.011,0.9438,0.000157,0.00007,0.000113,31.9,0.0224,2.2353,1.6202,lam.,0.0014,0.10921
0,0,0.6742,0.000156,0.00007,0.000113,18.6,0.0384,2.2358,1.6201,lam.,0.0011,0.54619
0.001,-0.011,0.3931,0.000033,0.000015,0.000024,1.2,0.0001,2.2364,1.62,lam.,0.0209,0.84728
0.0039,-0.0218,0.1102,0.000001,0,0.000001,0,0,2.2364,1.62,lam.,0,0.99029
0.0089,-0.0321,0.122,0.000034,0.000015,0.000025,1.1,0.0001,2.2364,1.62,lam.,0.0209,0.98754
0.0157,-0.0421,0.3467,0.000536,0.000221,0.000352,18.2,0.0304,2.4247,1.5929,lam.,0.0012,0.88171
0.0245,-0.0517,0.5281,0.000186,0.000083,0.000135,19.5,0.037,2.226,1.6216,lam.,0.0011,0.72238
0.0351,-0.0609,0.6734,0.000209,0.000093,0.000151,33.5,0.0212,2.2423,1.6191,lam.,0.0014,0.54729
0.0476,-0.0695,0.7885,0.000237,0.000105,0.00017,48,0.0144,2.2576,1.6167,lam.,0.0017,0.3787
0.0618,-0.0776,0.8792,0.00027,0.000119,0.000191,63.3,0.0107,2.2761,1.6138,lam.,0.002,0.22722
0.0778,-0.085,0.9505,0.000305,0.000133,0.000214,79,0.0083,2.2968,1.6107,lam.,0.0023,0.09664
0.0955,-0.0919,1.0064,0.000345,0.000149,0.000239,95.5,0.0067,2.3177,1.6077,lam.,0.0026,-0.01275
0.1147,-0.098,1.0499,0.000387,0.000165,0.000265,112.5,0.0055,2.3393,1.6046,lam.,0.0028,-0.1022
0.1355,-0.1034,1.0834,0.000432,0.000183,0.000293,130,0.0046,2.3612,1.6015,lam.,0.0031,-0.17358
0.1577,-0.108,1.1086,0.00048,0.000201,0.000322,147.6,0.004,2.3844,1.5983,lam.,0.0033,-0.22889
0.1813,-0.1119,1.1271,0.000533,0.000221,0.000353,165.8,0.0034,2.4084,1.5951,lam.,0.0036,-0.27009
0.2061,-0.1149,1.1399,0.000588,0.000242,0.000385,184.2,0.003,2.4341,1.5917,lam.,0.0038,-0.29904
0.2321,-0.1171,1.1479,0.000648,0.000263,0.000418,202.8,0.0026,2.4618,1.5882,lam.,0.0041,-0.31747
0.2591,-0.1186,1.152,0.000713,0.000286,0.000453,221.9,0.0023,2.492,1.5844,lam.,0.0044,-0.32694
0.2871,-0.1192,1.1529,0.000783,0.00031,0.00049,241.4,0.002,2.5251,1.5803,lam.,0.0047,-0.32892
0.3159,-0.1191,1.1511,0.000858,0.000335,0.000528,261,0.0018,2.5611,1.5761,lam.,0.005,-0.32471
0.3455,-0.1183,1.1471,0.00094,0.000361,0.000567,280.9,0.0015,2.6031,1.5714,lam.,0.0053,-0.31548
0.3757,-0.1167,1.1413,0.001031,0.000388,0.000609,301.2,0.0013,2.653,1.5665,lam.,0.0057,-0.30225
0.4063,-0.1146,1.1341,0.001128,0.000417,0.000651,321.5,0.0012,2.7072,1.5615,lam.,0.0061,-0.28591
0.4373,-0.1118,1.1258,0.001236,0.000446,0.000694,342.2,0.001,2.7695,1.556,lam.,0.0066,-0.26722
0.4686,-0.1084,1.1167,0.001357,0.000477,0.00074,363.1,0.0009,2.843,1.5501,lam.,0.0072,-0.24679
0.5,-0.1046,1.1069,0.001491,0.000509,0.000785,384.1,0.0007,2.9315,1.5438,lam.,0.0079,-0.22514
0.5314,-0.1004,1.0967,0.001651,0.000542,0.000833,405.5,0.0006,3.0469,1.5369,lam.,0.0089,-0.20265
0.5627,-0.0957,1.0861,0.001848,0.000576,0.000881,427,0.0004,3.2089,1.5294,lam.,0.0105,-0.17962
0.5937,-0.0908,1.0753,0.002135,0.000611,0.00093,448.9,0.0002,3.4924,1.5207,lam.,0.0143,-0.15623
0.6243,-0.0856,1.0643,0.001317,0.000654,0.001023,475.7,0.0017,2.0119,1.5628,turb.,0.005,-0.1326
0.6545,-0.0802,1.053,0.001218,0.000717,0.001172,516,0.0027,1.6986,1.6337,turb.,0.004,-0.10878
0.6841,-0.0746,1.0415,0.001242,0.000793,0.001328,564.7,0.0033,1.5661,1.6737,turb.,0.0036,-0.08476
0.7129,-0.069,1.0298,0.00132,0.000878,0.001489,618.4,0.0036,1.5026,1.6958,turb.,0.0035,-0.06046
0.7409,-0.0632,1.0177,0.001424,0.000969,0.001654,674.3,0.0038,1.4701,1.708,turb.,0.0034,-0.03579
0.7679,-0.0575,1.0053,0.001546,0.001064,0.001825,732.3,0.0038,1.453,1.7147,turb.,0.0034,-0.01059
0.7939,-0.0518,0.9923,0.001682,0.001164,0.002,791.2,0.0038,1.4448,1.718,turb.,0.0034,0.01528
0.8187,-0.0462,0.9788,0.001831,0.00127,0.002182,851.6,0.0038,1.4423,1.719,turb.,0.0034,0.04202
0.8423,-0.0407,0.9645,0.001992,0.00138,0.00237,912.8,0.0037,1.4442,1.7182,turb.,0.0034,0.06983
0.8645,-0.0354,0.9493,0.00217,0.001497,0.002568,975.6,0.0036,1.45,1.7159,turb.,0.0035,0.09893
0.8853,-0.0304,0.933,0.002367,0.001621,0.002775,1040.4,0.0035,1.4598,1.712,turb.,0.0036,0.12956
0.9045,-0.0255,0.9155,0.002593,0.001759,0.003001,1109.3,0.0033,1.4745,1.7063,turb.,0.0036,0.16199
0.9222,-0.021,0.8964,0.00286,0.001912,0.003248,1183.5,0.0032,1.4953,1.6984,turb.,0.0037,0.19656
0.9382,-0.0169,0.8755,0.003187,0.00209,0.003527,1266.3,0.003,1.525,1.6876,turb.,0.0038,0.23367
0.9524,-0.0131,0.8522,0.003594,0.002294,0.003839,1358,0.0027,1.5665,1.6734,turb.,0.004,0.27388
0.9649,-0.0097,0.826,0.00415,0.002548,0.004212,1467.7,0.0024,1.6289,1.6535,turb.,0.0043,0.31801
0.9755,-0.0068,0.7956,0.004983,0.002879,0.004677,1606.8,0.002,1.7308,1.6246,turb.,0.0047,0.36735
0.9843,-0.0044,0.7591,0.006381,0.003332,0.005269,1791.1,0.0015,1.9148,1.5812,turb.,0.0055,0.42421
0.9911,-0.0025,0.7122,0.012522,0.003106,0.006496,1495.4,0,4.0319,2.0915,turb.,0,0.49332
0.9961,-0.0011,0.6435,0.012522,0.003106,0.006496,1351.1,0,4.0319,2.0915,sep.,0,0.58674
0.999,-0.0003,0.49,0.012522,0.003106,0.006496,1028.9,0,4.0319,2.0915,sep.,0,0.7613
1,0,0.2137,0.012522,0.003106,0.006496,448.8,0,4.0319,2.0915,sep.,0,0.95659
