x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.2137,0.01864,0.011405,0.009715,1648,0,1.6344,0.8518,sep.,0,0.95659
0.999,0.0003,0.4929,0.01864,0.011405,0.009715,3800.2,0,1.6344,0.8518,sep.,0,0.75849
0.9961,0.0011,0.6492,0.01864,0.011405,0.009715,5005.3,0,1.6344,0.8518,sep.,0,0.57939
0.9911,0.0025,0.7216,0.01864,0.011405,0.009715,5563.7,0,1.6344,0.8518,sep.,0,0.47985
0.9843,0.0044,0.7726,0.01864,0.011405,0.009715,5956.9,0,1.6344,0.8518,sep.,0,0.40347
0.9755,0.0068,0.8136,0.01864,0.011405,0.009715,6273.2,0,1.6344,0.8518,sep.,0,0.33828
0.9649,0.0097,0.8489,0.01864,0.011405,0.009715,6544.8,0,1.6344,0.8518,sep.,0,0.27961
0.9524,0.0131,0.8803,0.01864,0.011405,0.009715,6787.1,0,1.6344,0.8518,turb.,0,0.22521
0.9382,0.0169,0.909,0.01225,0.005629,0.008635,3559.3,0.0009,2.1764,1.5341,turb.,0.0072,0.17378
0.9222,0.021,0.9357,0.00988,0.005039,0.007922,3273.1,0.0012,1.9606,1.5722,turb.,0.0061,0.12451
0.9045,0.0255,0.9608,0.008355,0.004567,0.007308,3040.1,0.0015,1.8295,1.6003,turb.,0.0054,0.07683
0.8853,0.0304,0.9847,0.007256,0.004169,0.006764,2840.1,0.0017,1.7404,1.6223,turb.,0.005,0.03032
0.8645,0.0354,1.0077,0.006418,0.003828,0.006277,2664.9,0.0019,1.6765,1.6396,turb.,0.0047,-0.01539
0.8423,0.0407,1.0299,0.005737,0.003524,0.005829,2505,0.0021,1.6278,1.6539,turb.,0.0045,-0.06062
0.8187,0.0462,1.0515,0.00517,0.003251,0.005416,2357.6,0.0023,1.59,1.6657,turb.,0.0044,-0.10568
0.7939,0.0518,1.0728,0.00468,0.003,0.005028,2218.8,0.0025,1.5598,1.6757,turb.,0.0042,-0.15087
0.7679,0.0575,1.0939,0.004254,0.002771,0.004666,2088.3,0.0026,1.5354,1.684,turb.,0.0041,-0.1965
0.7409,0.0632,1.1149,0.003874,0.002557,0.004324,1963.5,0.0027,1.5154,1.6911,turb.,0.004,-0.24288
0.7129,0.069,1.136,0.003533,0.002357,0.004,1844,0.0028,1.4988,1.6972,turb.,0.0039,-0.29033
0.6841,0.0746,1.1573,0.003218,0.002167,0.003689,1727.1,0.003,1.4847,1.7024,turb.,0.0038,-0.33915
0.6545,0.0802,1.179,0.002926,0.001987,0.003392,1613.1,0.0031,1.4727,1.707,turb.,0.0038,-0.38965
0.6243,0.0856,1.2011,0.002653,0.001814,0.003104,1500.9,0.0032,1.4623,1.711,turb.,0.0037,-0.44213
