x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
0.0157,0.0421,0.9198,0.000253,0.000113,0.000182,28.4,0.0249,2.244,1.6188,lam.,0.0027,0.154
0.0089,0.0321,0.7453,0.000232,0.000104,0.000168,18.7,0.0384,2.2357,1.6201,lam.,0.0021,0.44501
0.0039,0.0218,0.527,0.000226,0.000101,0.000164,9.2,0.0772,2.2352,1.6202,lam.,0.0015,0.7236
0.001,0.011,0.2704,0.000226,0.000101,0.000164,0.2,0.0001,2.2364,1.62,lam.,0.0418,0.92903
0,0,0,0.000001,0,0.000001,0,0,2.2364,1.62,lam.,0,1.00504
0.001,-0.011,0.2704,0.000226,0.000101,0.000164,0.2,0.0001,2.2364,1.62,lam.,0.0418,0.92903
0.0039,-0.0218,0.527,0.000226,0.000101,0.000164,9.2,0.0772,2.2352,1.6202,lam.,0.0015,0.7236
0.0089,-0.0321,0.7453,0.000232,0.000104,0.000168,18.7,0.0384,2.2357,1.6201,lam.,0.0021,0.44501
0.0157,-0.0421,0.9198,0.000253,0.000113,0.000182,28.4,0.0249,2.244,1.6188,lam.,0.0027,0.154
0.0245,-0.0517,1.053,0.000284,0.000126,0.000203,39.2,0.0177,2.2601,1.6163,lam.,0.0031,-0.10876
0.0351,-0.0609,1.1517,0.000323,0.000142,0.000228,50.4,0.0133,2.2852,1.6125,lam.,0.0036,-0.32616
