x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.1452,0.014954,0.003653,0.007805,179.3,0,4.0941,2.1369,sep.,0,0.9813
0.9991,0.0002,0.6669,0.014954,0.003653,0.007805,823.4,0,4.0941,2.1369,sep.,0,0.55604
0.9962,0.0008,0.8089,0.014954,0.003653,0.007805,998.6,0,4.0941,2.1369,turb.,0,0.34606
0.9913,0.0018,0.8585,0.007126,0.003857,0.006155,1162.9,0.0018,1.8478,1.5959,turb.,0.0099,0.26312
0.9845,0.0032,0.8921,0.005921,0.003449,0.005615,1070.4,0.0023,1.7168,1.6283,turb.,0.0088,0.2043
0.9758,0.005,0.9183,0.005159,0.003147,0.005193,1000.2,0.0026,1.6395,1.6503,turb.,0.0082,0.15683
0.9653,0.0071,0.9404,0.004612,0.002904,0.00484,942.4,0.0029,1.5881,1.6663,turb.,0.0078,0.11561
0.9529,0.0096,0.96,0.004195,0.002703,0.004536,893,0.0031,1.5522,1.6782,turb.,0.0076,0.07841
0.9387,0.0123,0.9777,0.003851,0.002524,0.004259,847.9,0.0032,1.5256,1.6875,turb.,0.0073,0.04406
0.9228,0.0154,0.9941,0.003559,0.002364,0.004006,806.3,0.0034,1.5056,1.6946,turb.,0.0072,0.01186
0.9053,0.0186,1.0093,0.003305,0.002217,0.00377,767,0.0035,1.4908,1.7001,turb.,0.007,-0.01864
0.8861,0.0221,1.0236,0.003078,0.00208,0.003544,729.1,0.0036,1.4798,1.7042,turb.,0.0069,-0.04774
0.8655,0.0257,1.0372,0.002874,0.001952,0.003332,692.7,0.0037,1.4723,1.7071,turb.,0.0068,-0.07567
0.8433,0.0295,1.0501,0.002686,0.00183,0.003127,657.2,0.0038,1.4679,1.7088,turb.,0.0068,-0.10262
0.8198,0.0333,1.0624,0.002514,0.001714,0.002931,622.5,0.0039,1.4664,1.7094,turb.,0.0067,-0.12874
0.7951,0.0373,1.0743,0.002351,0.001601,0.002736,587.7,0.0039,1.4683,1.7087,turb.,0.0067,-0.15416
0.7691,0.0412,1.0859,0.002201,0.001493,0.002547,553.5,0.0039,1.4742,1.7064,turb.,0.0067,-0.17901
0.7421,0.0451,1.097,0.002062,0.001388,0.002362,519.8,0.0039,1.4856,1.7021,turb.,0.0067,-0.20341
0.7141,0.049,1.108,0.001937,0.001287,0.002181,486.5,0.0038,1.5051,1.6949,turb.,0.0068,-0.22745
0.6853,0.0528,1.1187,0.00183,0.00119,0.002003,454.1,0.0037,1.5378,1.6832,turb.,0.0069,-0.25125
0.6557,0.0565,1.1292,0.00175,0.001099,0.00183,423.3,0.0034,1.5929,1.6649,turb.,0.0072,-0.27489
0.6254,0.06,1.1396,0.001716,0.001015,0.00166,394.4,0.003,1.6906,1.6359,turb.,0.0077,-0.29846
0.5947,0.0633,1.1499,0.001764,0.000941,0.001496,368.8,0.0023,1.8753,1.5903,turb.,0.0088,-0.32202
0.5635,0.0664,1.1602,0.001977,0.00088,0.001342,348.2,0.0013,2.2457,1.5241,turb.,0.0115,-0.34565
0.5321,0.0692,1.1704,0.002923,0.000834,0.001269,333,0.0003,3.5027,1.5205,lam.,0.0249,-0.36942
0.5006,0.0718,1.1806,0.002621,0.00079,0.001205,318.1,0.0004,3.3167,1.5255,lam.,0.02,-0.39343
0.469,0.074,1.1909,0.002381,0.000746,0.001142,303.1,0.0006,3.1901,1.5301,lam.,0.0173,-0.41787
0.4376,0.0758,1.2015,0.002108,0.000699,0.001076,286.7,0.0008,3.015,1.5387,lam.,0.0145,-0.44311
0.4063,0.0773,1.2135,0.001847,0.00065,0.001008,269.3,0.0011,2.8423,1.5502,lam.,0.0123,-0.47207
0.3753,0.0783,1.2259,0.001682,0.000608,0.000947,254,0.0014,2.7634,1.5565,lam.,0.0113,-0.50227
0.3447,0.0788,1.2349,0.001543,0.00057,0.00089,239.4,0.0016,2.7071,1.5615,lam.,0.0106,-0.52429
0.3147,0.0787,1.2422,0.001421,0.000534,0.000836,225.1,0.0018,2.6634,1.5656,lam.,0.0099,-0.54233
0.2854,0.078,1.248,0.001312,0.000499,0.000783,211.3,0.002,2.6279,1.569,lam.,0.0094,-0.55666
0.257,0.0768,1.2523,0.001209,0.000466,0.000732,197.5,0.0022,2.5969,1.572,lam.,0.0089,-0.56733
0.2296,0.075,1.255,0.001114,0.000433,0.000682,183.8,0.0025,2.5726,1.5747,lam.,0.0084,-0.57418
0.2033,0.0727,1.2561,0.001024,0.000401,0.000633,170.2,0.0027,2.5523,1.5771,lam.,0.008,-0.57701
0.1782,0.0699,1.2555,0.000938,0.00037,0.000584,156.7,0.003,2.5345,1.5792,lam.,0.0076,-0.57553
0.1544,0.0666,1.2531,0.000856,0.00034,0.000537,143.5,0.0034,2.5185,1.5811,lam.,0.0072,-0.56937
0.1321,0.0628,1.2485,0.000775,0.00031,0.00049,130,0.0038,2.5033,1.583,lam.,0.0068,-0.55806
0.1112,0.0587,1.2416,0.000698,0.00028,0.000444,116.8,0.0044,2.4884,1.5848,lam.,0.0063,-0.54094
0.092,0.0542,1.232,0.00062,0.000251,0.000398,103.3,0.005,2.4727,1.5868,lam.,0.0059,-0.51704
0.0744,0.0494,1.2188,0.000545,0.000222,0.000353,90.1,0.0059,2.4543,1.5891,lam.,0.0054,-0.48488
0.0586,0.0444,1.2011,0.00047,0.000193,0.000307,76.8,0.0072,2.432,1.592,lam.,0.0049,-0.44209
0.0445,0.0391,1.1769,0.000396,0.000165,0.000263,63.7,0.009,2.403,1.5958,lam.,0.0044,-0.38475
0.0323,0.0337,1.143,0.000323,0.000136,0.000218,50.4,0.0119,2.3664,1.6008,lam.,0.0038,-0.3063
0.0221,0.0281,1.0934,0.000256,0.00011,0.000177,38,0.0168,2.3182,1.6076,lam.,0.0032,-0.19551
0.0137,0.0225,1.0168,0.000196,0.000087,0.00014,26.3,0.0261,2.2675,1.6152,lam.,0.0026,-0.03389
0.0073,0.0169,0.8916,0.00015,0.000067,0.000109,15.5,0.0467,2.2329,1.6205,lam.,0.0019,0.20508
0.0029,0.0112,0.6804,0.000168,0.000075,0.000121,8.6,0.0829,2.2358,1.6201,lam.,0.0015,0.53779
0.0004,0.0056,0.3394,0.00005,0.000022,0.000036,0.8,0.0001,2.2364,1.62,lam.,0.0418,0.88675
0,0,0.0913,0.000001,0,0.000001,0,0,2.2364,1.62,lam.,0,0.99412
0.0015,-0.0054,0.5319,0.000051,0.000023,0.000037,0.8,0.0001,2.2364,1.62,lam.,0.0418,0.71842
0.005,-0.0104,0.8301,0.000126,0.000056,0.000091,10.1,0.0704,2.2353,1.6202,lam.,0.0016,0.3112
0.0104,-0.0151,0.9952,0.000157,0.00007,0.000113,19.6,0.036,2.2468,1.6184,lam.,0.0022,0.0095
0.0177,-0.0194,1.0794,0.000212,0.000092,0.000148,31,0.0213,2.2973,1.6107,lam.,0.0029,-0.16502
