x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.143,0.019147,0.004921,0.009905,475.6,0,3.8907,2.0127,sep.,0,0.98196
0.9991,0.0002,0.6897,0.019147,0.004921,0.009905,2294.7,0,3.8907,2.0127,sep.,0,0.52494
0.9962,0.0008,0.8143,0.019147,0.004921,0.009905,2708.9,0,3.8907,2.0127,sep.,0,0.33725
0.9913,0.0018,0.862,0.019147,0.004921,0.009905,2867.7,0,3.8907,2.0127,turb.,0,0.25714
0.9845,0.0032,0.8964,0.010055,0.005177,0.008158,3233.6,0.0012,1.9422,1.5757,turb.,0.006,0.19654
0.9758,0.005,0.9244,0.008368,0.004665,0.007505,2992.2,0.0016,1.7937,1.6087,turb.,0.0053,0.14558
0.9653,0.0071,0.9488,0.007265,0.00427,0.006971,2802.3,0.0018,1.7015,1.6326,turb.,0.0049,0.09987
0.9529,0.0096,0.9708,0.006454,0.003942,0.006509,2641.6,0.0021,1.6372,1.6511,turb.,0.0046,0.0575
0.9387,0.0123,0.9913,0.00582,0.003661,0.006098,2500.8,0.0023,1.5899,1.6658,turb.,0.0044,0.01739
0.9228,0.0154,1.0105,0.005309,0.003416,0.005731,2375.5,0.0024,1.5541,1.6776,turb.,0.0042,-0.02107
0.9053,0.0186,1.0287,0.004874,0.003194,0.00539,2259,0.0026,1.5257,1.6874,turb.,0.0041,-0.05831
0.8861,0.0221,1.0463,0.004494,0.00299,0.005071,2149.3,0.0027,1.5028,1.6957,turb.,0.004,-0.09464
0.8655,0.0257,1.0632,0.004163,0.002804,0.004774,2046.5,0.0028,1.4845,1.7025,turb.,0.0039,-0.13027
0.8433,0.0295,1.0796,0.003866,0.00263,0.004493,1948.3,0.003,1.4696,1.7081,turb.,0.0039,-0.16542
0.8198,0.0333,1.0956,0.003598,0.002468,0.004228,1854.2,0.003,1.4575,1.7129,turb.,0.0038,-0.20025
0.7951,0.0373,1.1113,0.003347,0.002312,0.00397,1761.3,0.0031,1.4474,1.7169,turb.,0.0037,-0.23493
0.7691,0.0412,1.1269,0.003115,0.002164,0.003723,1671.1,0.0032,1.4392,1.7202,turb.,0.0037,-0.26962
0.7421,0.0451,1.1422,0.002897,0.002022,0.003484,1582.4,0.0033,1.4324,1.723,turb.,0.0036,-0.30448
0.7141,0.049,1.1576,0.00269,0.001885,0.003252,1494.9,0.0034,1.427,1.7252,turb.,0.0036,-0.33967
0.6853,0.0528,1.1729,0.002494,0.001753,0.003027,1408.2,0.0035,1.4227,1.727,turb.,0.0036,-0.37536
0.6557,0.0565,1.1883,0.002306,0.001624,0.002808,1322.1,0.0035,1.4194,1.7284,turb.,0.0035,-0.4117
0.6254,0.06,1.2039,0.002125,0.0015,0.002594,1236.7,0.0036,1.4172,1.7293,turb.,0.0035,-0.44888
0.5947,0.0633,1.2197,0.001952,0.001379,0.002385,1151.7,0.0037,1.416,1.7298,turb.,0.0035,-0.48706
0.5635,0.0664,1.2358,0.001786,0.001261,0.002182,1067.7,0.0037,1.4159,1.7298,turb.,0.0034,-0.52643
0.5321,0.0692,1.2522,0.001625,0.001147,0.001983,983.7,0.0038,1.4173,1.7293,turb.,0.0034,-0.5672
0.5006,0.0718,1.2691,0.001469,0.001034,0.001788,899.8,0.0039,1.4205,1.7279,turb.,0.0034,-0.60966
0.469,0.074,1.2866,0.001321,0.000926,0.001598,816.9,0.0039,1.4263,1.7255,turb.,0.0034,-0.6542
0.4376,0.0758,1.3049,0.001175,0.000819,0.00141,733.5,0.0039,1.4346,1.7221,turb.,0.0033,-0.70149
0.4063,0.0773,1.3254,0.001037,0.000714,0.001226,650.6,0.0039,1.4509,1.7156,turb.,0.0033,-0.75531
0.3753,0.0783,1.3472,0.000929,0.000622,0.001058,574.8,0.0038,1.4932,1.6993,turb.,0.0034,-0.81334
0.3447,0.0788,1.3661,0.000865,0.000542,0.000902,507.4,0.0033,1.5951,1.6643,turb.,0.0037,-0.86443
0.3147,0.0787,1.3842,0.000897,0.000478,0.00076,453,0.0021,1.8761,1.5903,turb.,0.0045,-0.91378
0.2854,0.078,1.4016,0.001589,0.000437,0.000664,419.4,0.0002,3.6329,1.5181,lam.,0.0166,-0.96207
0.257,0.0768,1.4186,0.001365,0.000407,0.00062,394.7,0.0003,3.3551,1.5243,lam.,0.0116,-1.00976
0.2296,0.075,1.4353,0.001217,0.000378,0.000578,370.8,0.0005,3.2204,1.5289,lam.,0.0098,-1.05723
0.2033,0.0727,1.4519,0.001097,0.00035,0.000536,347.2,0.0006,3.1363,1.5325,lam.,0.0088,-1.10489
0.1782,0.0699,1.4685,0.000995,0.000323,0.000496,324.3,0.0007,3.0813,1.5351,lam.,0.0082,-1.15326
0.1544,0.0666,1.4855,0.000902,0.000296,0.000455,301.1,0.0008,3.0428,1.5372,lam.,0.0076,-1.203
0.1321,0.0628,1.503,0.000815,0.00027,0.000416,278,0.0009,3.0166,1.5386,lam.,0.0072,-1.25502
0.1112,0.0587,1.5214,0.000734,0.000245,0.000377,255.1,0.001,2.997,1.5397,lam.,0.0068,-1.31045
0.092,0.0542,1.5413,0.000652,0.000219,0.000337,231.4,0.0011,2.9778,1.5409,lam.,0.0063,-1.37077
0.0744,0.0494,1.563,0.000572,0.000194,0.000299,207.8,0.0013,2.9543,1.5423,lam.,0.0059,-1.43777
0.0586,0.0444,1.5872,0.00049,0.000168,0.00026,183.3,0.0015,2.9154,1.5449,lam.,0.0054,-1.51352
0.0445,0.0391,1.6144,0.000406,0.000142,0.000221,158.2,0.0019,2.8523,1.5493,lam.,0.0048,-1.59999
0.0323,0.0337,1.6447,0.000321,0.000117,0.000182,132.2,0.0027,2.7554,1.5572,lam.,0.0041,-1.69794
0.0221,0.0281,1.6768,0.000244,0.000093,0.000146,107,0.0039,2.6247,1.5693,lam.,0.0033,-1.80356
0.0137,0.0225,1.7054,0.000173,0.00007,0.000111,81.3,0.0065,2.4679,1.5875,lam.,0.0026,-1.89936
0.0073,0.0169,1.7145,0.000122,0.000053,0.000084,59.3,0.0108,2.3222,1.6071,lam.,0.002,-1.93001
0.0029,0.0112,1.6621,0.000093,0.000041,0.000067,41.2,0.0171,2.2468,1.6184,lam.,0.0016,-1.75491
0.0004,0.0056,1.467,0.000084,0.000038,0.000061,27.7,0.026,2.233,1.6205,lam.,0.0013,-1.14875
0,0,1.0723,0.000091,0.000041,0.000066,15.9,0.0449,2.2354,1.6201,lam.,0.001,-0.14982
0.0015,-0.0054,0.5751,0.000031,0.000014,0.000022,1.2,0.0001,2.2364,1.62,lam.,0.0209,0.67033
0.005,-0.0104,0.1186,0.000001,0,0.000001,0,0,2.2364,1.62,lam.,0,0.98836
0.0104,-0.0151,0.19,0.000033,0.000015,0.000024,1.2,0.0001,2.2364,1.62,lam.,0.0209,0.96621
0.0177,-0.0194,0.4115,0.00024,0.000106,0.000171,13.6,0.0505,2.2637,1.6157,lam.,0.0009,0.83236
0.0269,-0.0234,0.5585,0.000156,0.00007,0.000113,19.7,0.0367,2.2277,1.6213,lam.,0.0011,0.68931
0.0379,-0.0269,0.6593,0.000198,0.000088,0.000142,33.3,0.0208,2.2606,1.6162,lam.,0.0015,0.56617
0.0506,-0.0301,0.7306,0.000245,0.000107,0.000172,47.7,0.0139,2.2924,1.6114,lam.,0.0018,0.46681
0.0651,-0.0329,0.7823,0.000296,0.000128,0.000205,63.1,0.0101,2.3207,1.6072,lam.,0.0021,0.38832
0.0813,-0.0353,0.8207,0.000349,0.000149,0.000238,78.7,0.0078,2.3482,1.6033,lam.,0.0024,0.32675
0.099,-0.0374,0.8495,0.000404,0.00017,0.000272,94.5,0.0063,2.373,1.5999,lam.,0.0026,0.27859
0.1182,-0.039,0.8713,0.00046,0.000192,0.000307,110.4,0.0052,2.3959,1.5968,lam.,0.0029,0.24104
0.1389,-0.0403,0.8878,0.000519,0.000215,0.000343,126.6,0.0044,2.4167,1.594,lam.,0.0031,0.21192
0.161,-0.0412,0.9003,0.00058,0.000238,0.000379,143,0.0038,2.4359,1.5915,lam.,0.0034,0.18954
0.1844,-0.0418,0.9097,0.000642,0.000262,0.000416,159.2,0.0033,2.4544,1.5891,lam.,0.0036,0.17253
