x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.2146,0.016342,0.006722,0.008513,975.3,0,2.431,1.2664,sep.,0,0.95622
0.999,0.0003,0.4934,0.016342,0.006722,0.008513,2242.1,0,2.431,1.2664,sep.,0,0.75802
0.9961,0.0011,0.6488,0.016342,0.006722,0.008513,2948.7,0,2.431,1.2664,sep.,0,0.57984
0.9911,0.0025,0.7197,0.016342,0.006722,0.008513,3270.6,0,2.431,1.2664,sep.,0,0.48264
0.9843,0.0044,0.7688,0.016342,0.006722,0.008513,3493.9,0,2.431,1.2664,turb.,0,0.40936
0.9755,0.0068,0.8077,0.010353,0.004865,0.0075,2764.7,0.001,2.128,1.5416,turb.,0.0067,0.3479
0.9649,0.0097,0.8406,0.007966,0.004242,0.006743,2493.9,0.0014,1.8778,1.5893,turb.,0.0055,0.29354
0.9524,0.0131,0.8696,0.006581,0.00378,0.00613,2288.6,0.0018,1.7412,1.622,turb.,0.0049,0.24396
0.9382,0.0169,0.8957,0.00566,0.003418,0.005624,2124.1,0.0021,1.6559,1.6455,turb.,0.0045,0.19787
0.9222,0.021,0.9196,0.004974,0.003115,0.005183,1982.9,0.0024,1.5966,1.6636,turb.,0.0043,0.15446
0.9045,0.0255,0.9417,0.00444,0.002858,0.004794,1859.1,0.0026,1.5538,1.6777,turb.,0.0041,0.11315
0.8853,0.0304,0.9625,0.004007,0.002633,0.004446,1747.7,0.0028,1.522,1.6887,turb.,0.004,0.07353
0.8645,0.0354,0.9822,0.003642,0.002432,0.004128,1645.4,0.0029,1.4976,1.6976,turb.,0.0039,0.03525
0.8423,0.0407,1.001,0.003324,0.002248,0.003833,1548.8,0.0031,1.4786,1.7047,turb.,0.0038,-0.00198
0.8187,0.0462,1.019,0.003046,0.002081,0.003559,1458,0.0032,1.4639,1.7104,turb.,0.0037,-0.03844
0.7939,0.0518,1.0365,0.002795,0.001924,0.0033,1370.7,0.0033,1.4523,1.7149,turb.,0.0036,-0.07438
0.7679,0.0575,1.0536,0.002565,0.001777,0.003054,1286,0.0034,1.4433,1.7186,turb.,0.0036,-0.11007
0.7409,0.0632,1.0704,0.002352,0.001637,0.002818,1203.2,0.0035,1.4363,1.7214,turb.,0.0035,-0.14573
0.7129,0.069,1.0871,0.002153,0.001504,0.002593,1122.3,0.0036,1.4312,1.7235,turb.,0.0035,-0.1816
0.6841,0.0746,1.1036,0.001965,0.001376,0.002373,1042,0.0037,1.4277,1.7249,turb.,0.0035,-0.21791
0.6545,0.0802,1.1203,0.001786,0.001252,0.002161,962.5,0.0038,1.4261,1.7256,turb.,0.0034,-0.25484
0.6243,0.0856,1.137,0.001615,0.001132,0.001954,883.3,0.0038,1.4266,1.7254,turb.,0.0034,-0.29257
0.5937,0.0908,1.1539,0.001455,0.001018,0.001754,805.5,0.0039,1.4301,1.7239,turb.,0.0034,-0.33122
0.5627,0.0957,1.171,0.001306,0.000908,0.001561,729,0.0039,1.4386,1.7205,turb.,0.0033,-0.37088
0.5314,0.1004,1.1883,0.00117,0.000803,0.001376,654.7,0.0039,1.4561,1.7135,turb.,0.0034,-0.41155
0.5,0.1046,1.2057,0.001052,0.000705,0.001198,582.9,0.0037,1.493,1.6994,turb.,0.0034,-0.45319
0.4686,0.1084,1.2232,0.00097,0.000616,0.001028,516.3,0.0033,1.5762,1.6704,turb.,0.0036,-0.49566
0.4373,0.1118,1.2407,0.000968,0.00054,0.000869,459.1,0.0024,1.7935,1.6093,turb.,0.0042,-0.53871
0.4063,0.1146,1.2581,0.001798,0.000486,0.000738,419.4,0.0001,3.6954,1.5172,lam.,0.0183,-0.58201
