x/c,y/c,v/V,δ_1,δ_2,δ_3,Reδ_2,C_f,H_12,H_32,State,y1,Cp
1,0,0.2112,0.017938,0.019972,0.009347,2851,0,0.8982,0.468,sep.,0,0.95769
0.999,0.0003,0.4886,0.017938,0.019972,0.009347,6597.2,0,0.8982,0.468,sep.,0,0.7627
0.9961,0.0011,0.6446,0.017938,0.019972,0.009347,8702.6,0,0.8982,0.468,sep.,0,0.5854
0.9911,0.0025,0.718,0.017938,0.019972,0.009347,9694.5,0,0.8982,0.468,sep.,0,0.48503
0.9843,0.0044,0.7705,0.017938,0.019972,0.009347,10403.3,0,0.8982,0.468,sep.,0,0.40671
0.9755,0.0068,0.8133,0.017938,0.019972,0.009347,10981.4,0,0.8982,0.468,sep.,0,0.33876
0.9649,0.0097,0.8506,0.017938,0.019972,0.009347,11484.6,0,0.8982,0.468,sep.,0,0.27666
0.9524,0.0131,0.8843,0.017938,0.019972,0.009347,11939,0,0.8982,0.468,sep.,0,0.2182
0.9382,0.0169,0.9154,0.017938,0.019972,0.009347,12359.4,0,0.8982,0.468,sep.,0,0.16211
0.9222,0.021,0.9447,0.017938,0.019972,0.009347,12754.6,0,0.8982,0.468,sep.,0,0.10762
0.9045,0.0255,0.9726,0.017938,0.019972,0.009347,13131.1,0,0.8982,0.468,sep.,0,0.05415
0.8853,0.0304,0.9994,0.017938,0.019972,0.009347,13493.2,0,0.8982,0.468,sep.,0,0.00125
0.8645,0.0354,1.0254,0.017938,0.019972,0.009347,13844.6,0,0.8982,0.468,sep.,0,-0.05145
0.8423,0.0407,1.0509,0.017938,0.019972,0.009347,14188.5,0,0.8982,0.468,turb.,0,-0.1043
0.8187,0.0462,1.076,0.011309,0.005257,0.008085,3911.4,0.0009,2.1513,1.5382,turb.,0.0071,-0.15765
0.7939,0.0518,1.1009,0.009537,0.004786,0.007496,3642.2,0.0011,1.9925,1.566,turb.,0.0063,-0.21186
0.7679,0.0575,1.1258,0.008219,0.00437,0.006943,3399.8,0.0013,1.8808,1.5888,turb.,0.0057,-0.26728
0.7409,0.0632,1.1509,0.007199,0.004001,0.006432,3181.3,0.0015,1.7991,1.6076,turb.,0.0053,-0.3243
0.7129,0.069,1.1763,0.006357,0.003663,0.005947,2976.6,0.0017,1.7353,1.6236,turb.,0.005,-0.38333
0.6841,0.0746,1.2022,0.005646,0.003352,0.005489,2784,0.0019,1.6844,1.6374,turb.,0.0048,-0.44479
0.6545,0.0802,1.2287,0.005033,0.003064,0.005053,2601,0.0021,1.6427,1.6495,turb.,0.0046,-0.50911
0.6243,0.0856,1.256,0.004491,0.002793,0.004637,2424.9,0.0022,1.6077,1.6602,turb.,0.0044,-0.57673
0.5937,0.0908,1.2842,0.004012,0.002542,0.004244,2256.9,0.0024,1.5783,1.6695,turb.,0.0043,-0.64809
0.5627,0.0957,1.3134,0.003582,0.002306,0.00387,2095,0.0025,1.5532,1.6779,turb.,0.0042,-0.72363
0.5314,0.1004,1.3436,0.003197,0.002087,0.003517,1939.8,0.0027,1.5316,1.6853,turb.,0.0041,-0.80376
0.5,0.1046,1.3751,0.002844,0.00188,0.003181,1788.9,0.0028,1.5128,1.692,turb.,0.004,-0.88888
0.4686,0.1084,1.4077,0.002524,0.001686,0.002864,1643.3,0.0029,1.4965,1.698,turb.,0.0039,-0.97933
0.4373,0.1118,1.4416,0.00223,0.001505,0.002563,1502.1,0.0031,1.4823,1.7033,turb.,0.0038,-1.07543
0.4063,0.1146,1.4768,0.001965,0.001336,0.002282,1367,0.0032,1.4701,1.708,turb.,0.0037,-1.17742
0.3757,0.1167,1.5132,0.001725,0.001181,0.002022,1238.1,0.0033,1.4599,1.7119,turb.,0.0036,-1.2855
0.3455,0.1183,1.5507,0.001503,0.001036,0.001776,1112.8,0.0035,1.4515,1.7153,turb.,0.0036,-1.39977
0.3159,0.1191,1.5894,0.001304,0.000902,0.00155,993.8,0.0036,1.445,1.7179,turb.,0.0035,-1.52026
0.2871,0.1192,1.629,0.001125,0.000781,0.001342,881,0.0037,1.4407,1.7196,turb.,0.0034,-1.64691
0.2591,0.1186,1.6696,0.000962,0.000668,0.00115,772.9,0.0039,1.4392,1.7202,turb.,0.0034,-1.77959
0.2321,0.1171,1.7109,0.000816,0.000566,0.000973,670.5,0.004,1.4424,1.7189,turb.,0.0033,-1.91806
0.2061,0.1149,1.7529,0.000687,0.000472,0.00081,573.3,0.004,1.4546,1.7141,turb.,0.0033,-2.06199
0.1813,0.1119,1.7953,0.000581,0.00039,0.000664,484.7,0.0039,1.4884,1.7011,turb.,0.0033,-2.21093
0.1577,0.108,1.838,0.000507,0.000318,0.00053,404.6,0.0035,1.5919,1.6655,turb.,0.0036,-2.36427
0.1355,0.1034,1.8807,0.00052,0.000264,0.000415,343.4,0.002,1.9689,1.5714,turb.,0.0047,-2.52106
